provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,95|universitario|,univ-nac-de-la-plata,95,universitario,"",exacto,institucion,1,Univ. Nac de la Plata,Univ. Nac. De la Plata,2021 2022 2023 2024 2025 2026,11
urba,99|universitario|,univ-nac-de-lomas,99,universitario,"",exacto,institucion,1,Univ. Nac de Lomas,Universidad de Lomas,2022 2023 2024 2025 2026,8
urba,116|empresarial|,univ-nac-de-quilmes,116,empresarial,"",exacto,institucion,1,Univ. Nac de Quilmes,Universidad de Quilmes,2023,2
urba,116|formativo|,univ-nac-de-quilmes,116,formativo,"",exacto,institucion,1,Univ. Nac de Quilmes,Univ. Nac de Quilmes,2024 2025,4
urba,116|universitario|,univ-nac-de-quilmes,116,universitario,"",exacto,institucion,1,Univ. Nac de Quilmes,Universidad de Quilmes,2022,1
urba,103|empresarial|,univ-nac-de-san-martin,103,empresarial,"",exacto,institucion,1,Univ. Nac de San Martin,Univ. De San Martin,2021 2022 2023,5
urba,103|universitario|,univ-nac-de-san-martin,103,universitario,"",exacto,institucion,1,Univ. Nac de San Martin,Univ. Nac de San Martin,2024 2025 2026,4
urba,107|universitario|,untref,107,universitario,"",exacto,institucion,1,UNTREF,UNTREF,2021 2022 2023 2024 2025 2026,9
urba,94|femenino|,utn-haedo,94,femenino,"",exacto,institucion,1,UTN Haedo,UTN Haedo,2021 2022 2023 2024,8
urba,94|universitario|,utn-haedo,94,universitario,"",exacto,institucion,1,UTN Haedo,UTN Haedo,2021 2022 2023 2024,7
urba,105|universitario|,utn-medrano,105,universitario,"",exacto,institucion,1,UTN Medrano,UTN Medrano,2021 2022 2023 2024 2025 2026,9
urba,68|intermedia|,varela-jr,68,intermedia,"",exacto,institucion,1,Varela Jr.,Varela Jr.,2021 2022 2023 2024 2025 2026,6
urba,68|mayores|,varela-jr,68,mayores,"",exacto,institucion,1,Varela Jr.,Varela Jr.,2021 2022 2023 2024 2025 2026,6
urba,77|femenino|,vicente-lopez,77,femenino,"",exacto,institucion,1,Vicente Lopez,Vicente Lopez,2021 2022 2023 2024 2026,9
urba,77|intermedia|,vicente-lopez,77,intermedia,"",exacto,institucion,1,Vicente Lopez,Vicente Lopez,2022 2023 2024 2025 2026,5
urba,77|mayores|,vicente-lopez,77,mayores,"",exacto,institucion,1,Vicente Lopez,Vicente Lopez,2021 2022 2023 2024 2025 2026,7
urba,12|M15|A,asoc-alumni-m15-a,12,M15,A,exacto,equipo_juvenil,3,Alumni,Alumni A,2021 2022 2023 2024 2025 2026,10
urba,12|M15|B,asoc-alumni-m15-b,12,M15,B,exacto,equipo_juvenil,3,Alumni,Alumni B,2021 2022 2023 2024 2025 2026,10
urba,12|M15|C,asoc-alumni-m15-c,12,M15,C,exacto,equipo_juvenil,3,Alumni,Alumni C,2025 2026,3
urba,12|M15|D,asoc-alumni-m15-d,12,M15,D,exacto,equipo_juvenil,3,Alumni,Alumni D,2025,1
urba,12|M16|A,asoc-alumni-m16-a,12,M16,A,exacto,equipo_juvenil,3,Alumni,Alumni A,2021 2022 2023 2024 2025 2026,11
